iter	RMSE
0	23.3960642
1	23.15525711
2	22.91678016
3	22.68491285
4	22.48831994
5	22.32366005
6	22.14998659
7	21.98404764
8	21.8430123
9	21.69545359
10	21.56099789
11	21.44104829
12	21.3255215
13	21.21513045
14	21.11940239
15	21.03318825
16	20.94300489
17	20.84893577
18	20.75950325
19	20.67979714
20	20.60235051
21	20.53173025
22	20.4573502
23	20.40659913
24	20.35156679
25	20.3048354
26	20.25092127
27	20.1968046
28	20.14732024
29	20.11211969
30	20.07613772
31	20.03632337
32	20.00414187
33	19.96933521
34	19.93483862
35	19.90229659
36	19.87254136
37	19.84720732
38	19.80972871
39	19.77749218
40	19.75186533
41	19.72125303
42	19.69090746
43	19.66215745
44	19.63000637
45	19.61119466
46	19.58427489
47	19.56778597
48	19.54425599
49	19.52975341
50	19.51257145
51	19.48260818
52	19.45630311
53	19.43492234
54	19.39581023
55	19.38032596
56	19.36634566
57	19.34946425
58	19.33490748
59	19.32248388
60	19.30781803
61	19.28801926
62	19.27371549
63	19.26393726
64	19.24088618
65	19.21741436
66	19.2017188
67	19.19453458
68	19.17311957
69	19.15374263
70	19.13385452
71	19.10623053
72	19.09397157
73	19.08113793
74	19.0670166
75	19.04027562
76	19.02572073
77	19.0167732
78	18.98557811
79	18.971231
80	18.96410047
81	18.9462903
82	18.93317741
83	18.90697309
84	18.89854792
85	18.88400121
86	18.87785736
87	18.86530439
88	18.85778068
89	18.83967364
90	18.82979287
91	18.8217204
92	18.80219694
93	18.7892469
94	18.77390672
95	18.75739531
96	18.74920356
97	18.73497937
98	18.72384661
99	18.71725048
100	18.7070249
101	18.6902472
102	18.68586778
103	18.6754974
104	18.67037518
105	18.65375285
106	18.6359795
107	18.62998641
108	18.62161356
109	18.60600367
110	18.58884237
111	18.5753474
112	18.56535278
113	18.54475511
114	18.53603427
115	18.52926105
116	18.52234051
117	18.51655064
118	18.49061167
119	18.4716626
120	18.45391111
121	18.44163287
122	18.43512926
123	18.42307106
124	18.40609019
125	18.40131905
126	18.38958618
127	18.37814478
128	18.36772752
129	18.36072049
130	18.34454394
131	18.34165789
132	18.33097022
133	18.31996886
134	18.30752503
135	18.29442853
136	18.28542788
137	18.27066475
138	18.26577977
139	18.25518788
140	18.24533174
141	18.24230353
142	18.23246551
143	18.22735965
144	18.22257685
145	18.21930322
146	18.21124263
147	18.20480787
148	18.20029353
149	18.1892557
150	18.1853842
151	18.17470074
152	18.1711602
153	18.16097902
154	18.14850846
155	18.14140958
156	18.135533
157	18.13259736
158	18.12727767
159	18.11609696
160	18.11219942
161	18.10469124
162	18.09988746
163	18.08799585
164	18.07451357
165	18.06486244
166	18.0554052
167	18.04337879
168	18.03495003
169	18.02243815
170	18.01317109
171	17.99744043
172	17.98490562
173	17.97860406
174	17.96456412
175	17.95523806
176	17.94550228
177	17.94127498
178	17.92748414
179	17.91815306
180	17.9078096
181	17.89716156
182	17.89235654
183	17.88013774
184	17.87514751
185	17.8704126
186	17.86426897
187	17.85459445
188	17.84647465
189	17.84053454
190	17.82655172
191	17.81822463
192	17.81167151
193	17.80351806
194	17.79530339
195	17.78707429
196	17.77586691
197	17.76175128
198	17.75912663
199	17.75297273
200	17.74040991
201	17.72648775
202	17.71443265
203	17.70821689
204	17.70344662
205	17.68804667
206	17.67268524
207	17.66767048
208	17.65720177
209	17.64901183
210	17.64266268
211	17.63507438
212	17.62550828
213	17.61604033
214	17.60954166
215	17.59916188
216	17.58917178
217	17.57257853
218	17.5642124
219	17.55939858
220	17.55375981
221	17.54904475
222	17.54192855
223	17.53194481
224	17.52299295
225	17.51745329
226	17.51225149
227	17.49959766
228	17.49888365
229	17.4838216
230	17.47604616
231	17.47072286
232	17.45779333
233	17.4489663
234	17.43935169
235	17.42604769
236	17.41742795
237	17.40222802
238	17.39583797
239	17.38513168
240	17.38000276
241	17.37174702
242	17.36058476
243	17.35153908
244	17.34470173
245	17.34010239
246	17.33631499
247	17.33301929
248	17.32789909
249	17.31778045
250	17.30434921
251	17.29418024
252	17.28654399
253	17.27734849
254	17.26662933
255	17.25333548
256	17.24445412
257	17.24296136
258	17.23840434
259	17.23411467
260	17.22319519
261	17.21894821
262	17.2089596
263	17.2052034
264	17.19760639
265	17.19483561
266	17.18753142
267	17.1758967
268	17.17201002
269	17.1665529
270	17.15942063
271	17.15473172
272	17.14995772
273	17.14554553
274	17.13410777
275	17.12948639
276	17.12523146
277	17.1185412
278	17.1121859
279	17.09982312
280	17.09289561
281	17.08844337
282	17.08060951
283	17.07725204
284	17.06593407
285	17.05911422
286	17.04969495
287	17.04299845
288	17.03953155
289	17.03197652
290	17.02665569
291	17.01421421
292	17.00575925
293	17.00023032
294	16.99692038
295	16.99617358
296	16.98693188
297	16.97723761
298	16.97313797
299	16.96160587
300	16.95359493
301	16.95051709
302	16.94056509
303	16.93617033
304	16.92322139
305	16.9191103
306	16.9112644
307	16.90656173
308	16.89710708
309	16.8933014
310	16.88558445
311	16.87728905
312	16.86834501
313	16.86240689
314	16.85541862
315	16.85162853
316	16.84420852
317	16.83565906
318	16.81945097
319	16.81672707
320	16.81085929
321	16.80832067
322	16.80693713
323	16.80321841
324	16.79872372
325	16.78828066
326	16.77679201
327	16.76746284
328	16.76307187
329	16.76001032
330	16.74809123
331	16.7414554
332	16.73570772
333	16.73119809
334	16.72797645
335	16.72269685
336	16.71789239
337	16.71173199
338	16.70438407
339	16.69860524
340	16.69548613
341	16.6914748
342	16.68566868
343	16.67293869
344	16.66469722
345	16.66080753
346	16.65363796
347	16.639131
348	16.62809101
349	16.61581525
350	16.61090471
351	16.6063236
352	16.59898552
353	16.59624375
354	16.58975787
355	16.5866463
356	16.5807253
357	16.56539937
358	16.56189214
359	16.55914675
360	16.55679478
361	16.55091624
362	16.54791264
363	16.5397448
364	16.52657968
365	16.51599695
366	16.5095385
367	16.50361385
368	16.49399825
369	16.48784731
370	16.47704255
371	16.4715217
372	16.46504408
373	16.45873817
374	16.45284099
375	16.44849742
376	16.44249486
377	16.44003316
378	16.43518007
379	16.42630524
380	16.40956986
381	16.40295527
382	16.40006173
383	16.39061299
384	16.38239979
385	16.37577069
386	16.3684968
387	16.36485459
388	16.35791745
389	16.35245568
390	16.34252073
391	16.3363388
392	16.33171501
393	16.32364906
394	16.31722263
395	16.31233774
396	16.30196698
397	16.297697
398	16.2935672
399	16.28118162
400	16.27416213
401	16.27176831
402	16.26752708
403	16.26267802
404	16.25144523
405	16.24850712
406	16.23748473
407	16.23399684
408	16.22642779
409	16.22071443
410	16.20763079
411	16.2070448
412	16.19468846
413	16.18525048
414	16.17392678
415	16.16698379
416	16.16041852
417	16.1531196
418	16.15016691
419	16.1390652
420	16.13356511
421	16.12968058
422	16.12568685
423	16.12319539
424	16.12128263
425	16.11609565
426	16.10967366
427	16.10032309
428	16.09098904
429	16.08413094
430	16.07995492
431	16.07420769
432	16.06567683
433	16.06246574
434	16.05976734
435	16.04931088
436	16.04665476
437	16.03592934
438	16.03352923
439	16.02804188
440	16.01516643
441	16.00090347
442	15.99363982
443	15.98666874
444	15.98163315
445	15.97201093
446	15.96400938
447	15.96110691
448	15.94886714
449	15.9454909
450	15.9401408
451	15.93130589
452	15.92435547
453	15.91814578
454	15.90679464
455	15.89905885
456	15.89666306
457	15.88991125
458	15.88660135
459	15.8779929
460	15.86938651
461	15.8549995
462	15.85182383
463	15.85147261
464	15.84379195
465	15.83090946
466	15.82218509
467	15.81945123
468	15.81107072
469	15.80743795
470	15.80255688
471	15.79564232
472	15.79201402
473	15.78300229
474	15.775301
475	15.76779897
476	15.76410884
477	15.75958269
478	15.7542891
479	15.74216029
480	15.73249448
481	15.72527048
482	15.72027171
483	15.71642429
484	15.70616356
485	15.7017551
486	15.69926723
487	15.69039911
488	15.68582539
489	15.67817089
490	15.67420224
491	15.67245889
492	15.66655967
493	15.65904988
494	15.65430678
495	15.64955579
496	15.64584406
497	15.63647269
498	15.63000385
499	15.62675107
